24, 30, 3
12, 1, 3
17, 7, 3
14, 4, 3
13, 4, 3
2, 22, 2
1, 6, 3
1, 11, 2
33, 30, 4
34, 29, 2
33, 3, 2
6, 7, 5
11, 5, 3
26, 32, 7
7, 6, 5
21, 34, 1
25, 26, 2
14, 1, 3
29, 34, 2
3, 2, 6
34, 19, 2
8, 2, 4
15, 34, 2
5, 11, 3
9, 3, 5
7, 5, 2
33, 24, 5
14, 2, 5
33, 34, 5
1, 12, 3
33, 23, 2
32, 25, 2
3, 1, 5
34, 20, 1
15, 33, 3
19, 34, 2
33, 9, 3
31, 2, 2
27, 34, 2
34, 14, 3
26, 24, 5
2, 18, 1
9, 34, 4
2, 1, 4
3, 28, 2
24, 33, 5
5, 1, 3
19, 33, 1
10, 3, 1
30, 27, 4
17, 6, 3
24, 28, 4
1, 5, 3
18, 1, 2
14, 34, 3
4, 1, 3
34, 32, 4
34, 9, 4
7, 1, 3
6, 11, 3
21, 33, 3
3, 33, 2
23, 34, 3
31, 34, 3
32, 29, 2
28, 24, 4
34, 16, 4
8, 3, 4
34, 31, 3
28, 25, 3
6, 1, 3
5, 7, 2
34, 10, 2
7, 17, 3
14, 3, 3
33, 31, 3
31, 33, 3
1, 3, 5
32, 26, 7
4, 8, 3
2, 8, 4
34, 21, 1
25, 32, 2
34, 15, 2
6, 17, 3
1, 20, 2
34, 28, 4
32, 33, 4
30, 33, 4
9, 33, 3
3, 10, 1
1, 14, 3
4, 13, 3
24, 34, 4
29, 3, 2
1, 32, 2
30, 24, 3
18, 2, 1
30, 34, 2
20, 1, 2
2, 20, 2
1, 4, 3
16, 33, 3
3, 9, 5
2, 3, 6
1, 9, 2
4, 2, 3
2, 14, 5
34, 27, 2
29, 32, 2
1, 18, 2
27, 30, 4
1, 7, 3
22, 1, 2
3, 4, 3
2, 4, 3
8, 4, 3
32, 1, 2
9, 1, 2
31, 9, 3
20, 34, 1
24, 26, 5
28, 34, 4
33, 32, 4
3, 14, 3
10, 34, 2
1, 2, 4
33, 21, 3
22, 2, 2
8, 1, 2
33, 15, 3
11, 1, 2
32, 34, 4
34, 30, 2
2, 31, 2
1, 13, 1
33, 16, 3
23, 33, 2
4, 14, 3
28, 3, 2
34, 23, 3
34, 33, 5
9, 31, 3
25, 28, 3
13, 1, 1
1, 22, 2
26, 25, 2
20, 2, 2
16, 34, 4
3, 8, 4
1, 8, 2
33, 19, 1
4, 3, 3
3, 29, 2
34, 24, 4
11, 6, 3
